issue_number,url,Human_Golden,llm1,llm2,llm3,llm4,llm5,majority,label
169,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_169_20260511T181727Z,Y,N,N,N,N,N,N,FN
1704,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1704_20260730T020559Z,Y,N,N,N,N,N,N,FN
2587,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2587_20260719T094237Z,Y,N,N,N,N,N,N,FN
3425,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_3425_20260824T015929Z,Y,N,Y,Y,Y,N,Y,TP
974,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_974_20260511T001744Z,Y,N,N,N,N,N,N,FN
3112,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_3112_20260804T212932Z,Y,Y,Y,N,N,Y,Y,TP
1686,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1686_20260818T052926Z,Y,Y,Y,Y,Y,Y,Y,TP
3938,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_3938_20260807T144335Z,Y,N,N,N,N,N,N,FN
83,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_83_20260618T195818Z,Y,Y,Y,Y,Y,Y,Y,TP
2177,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2177_20260810T100457Z,Y,Y,Y,Y,Y,Y,Y,TP
1702,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1702_20260729T084553Z,Y,Y,Y,Y,Y,Y,Y,TP
2235,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2235_20260820T162557Z,Y,Y,Y,Y,Y,Y,Y,TP
3388,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_3388_20260822T080336Z,Y,N,N,N,N,N,N,FN
1792,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1792_20260730T040633Z,Y,N,N,N,N,N,N,FN
1020,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1020_20260814T120504Z,Y,Y,N,Y,Y,Y,Y,TP
1545,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1545_20260817T110601Z,Y,N,N,Y,N,N,N,FN
667,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_667_20260814T105805Z,Y,N,N,N,N,N,N,FN
194,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_194_20260623T191609Z,Y,Y,Y,Y,Y,Y,Y,TP
4109,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_4109_20260618T125117Z,Y,N,N,N,N,N,N,FN
1538,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1538_20260817T110225Z,Y,Y,Y,Y,Y,Y,Y,TP
590,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_590_20260814T081942Z,N,Y,Y,Y,Y,Y,Y,FP
1924,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1924_20260810T103452Z,Y,Y,Y,Y,Y,Y,Y,TP
831,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_831_20260814T161354Z,Y,Y,N,Y,Y,Y,Y,TP
596,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_596_20260706T040852Z,Y,N,N,N,N,N,N,FN
209,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_209_20260619T235044Z,Y,Y,Y,Y,Y,Y,Y,TP
1272,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1272_20260816T174203Z,Y,Y,Y,Y,Y,Y,Y,TP
2007,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2007_20260819T163823Z,Y,N,N,N,N,N,N,FN
1965,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1965_20260729T165449Z,Y,Y,Y,Y,Y,Y,Y,TP
1732,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1732_20260818T071638Z,Y,N,N,N,N,N,N,FN
1158,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1158_20260814T222448Z,Y,N,N,Y,Y,N,N,FN
2296,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2296_20260823T174322Z,Y,Y,Y,Y,Y,Y,Y,TP
2789,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2789_20260804T104755Z,Y,N,N,Y,Y,N,N,FN
1351,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1351_20260624T075019Z,Y,Y,Y,Y,Y,Y,Y,TP
2090,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2090_20260820T062310Z,Y,Y,Y,Y,Y,Y,Y,TP
121,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_121_20260614T144239Z,Y,N,N,Y,N,N,N,FN
298,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_298_20260622T123423Z,Y,Y,Y,Y,Y,Y,Y,TP
1813,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1813_20260818T170656Z,Y,N,Y,Y,Y,N,Y,TP
2052,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2052_20260729T231408Z,Y,Y,Y,Y,Y,Y,Y,TP
1675,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1675_20260617T165705Z,Y,Y,Y,Y,Y,Y,Y,TP
1197,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1197_20260815T160749Z,Y,Y,Y,Y,Y,Y,Y,TP
33,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_33_MLE_20260614T100655Z,Y,N,Y,N,Y,Y,Y,TP
1703,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1703_20260627T133832Z,Y,Y,Y,Y,Y,Y,Y,TP
1810,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1810_20260818T170408Z,Y,Y,Y,Y,Y,Y,Y,TP
322,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_322_20260731T162619Z,Y,N,N,N,N,N,N,FN
579,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_579_20260814T054708Z,Y,Y,Y,Y,Y,Y,Y,TP
1277,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1277_20260511T034601Z,Y,Y,Y,Y,Y,Y,Y,TP
350,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_350_20260813T145604Z,Y,Y,Y,Y,Y,Y,Y,TP
9,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_9_20260522T230911Z,Y,N,N,N,N,N,N,FN
2276,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2276_20260803T045610Z,Y,N,N,N,N,N,N,FN
2055,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2055_20260730T044249Z,Y,Y,N,Y,N,N,N,FN
1551,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1551_20260817T114349Z,Y,Y,Y,Y,Y,Y,Y,TP
2089,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2089_20260823T001916Z,Y,Y,Y,Y,Y,Y,Y,TP
2000,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2000_20260808T192026Z,Y,Y,Y,Y,Y,Y,Y,TP
1689,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1689_20260818T055717Z,Y,Y,Y,Y,Y,Y,Y,TP
1745,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1745_20260808T133207Z,Y,Y,Y,Y,Y,Y,Y,TP
196,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_196_20260629T055224Z,N,Y,Y,Y,Y,Y,Y,FP
2330,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2330_20260628T093544Z,Y,Y,N,N,N,Y,N,FN
388,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_388_20260616T133519Z,Y,N,N,N,N,N,N,FN
1890,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1890_20260810T110306Z,Y,Y,Y,Y,Y,Y,Y,TP
1136,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1136_20260511T024303Z,Y,Y,Y,Y,Y,Y,Y,TP
1820,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1820_20260818T173819Z,Y,N,N,N,N,N,N,FN
1885,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1885_20260730T043836Z,Y,Y,Y,Y,Y,Y,Y,TP
1221,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1221_20260816T090307Z,Y,Y,Y,Y,Y,Y,Y,TP
2561,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2561_20260628T160144Z,Y,N,N,N,N,N,N,FN
2652,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2652_20260823T183858Z,Y,N,N,N,N,N,N,FN
337,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_337_20260813T113844Z,Y,N,N,Y,Y,Y,Y,TP
2899,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2899_20260524T021939Z,Y,N,N,N,N,N,N,FN
411,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_411_20260510T154443Z,Y,Y,Y,Y,Y,Y,Y,TP
166,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_166_20260703T205716Z,Y,N,N,N,N,N,N,FN
1432,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1432_20260817T045516Z,Y,Y,Y,Y,Y,Y,Y,TP
237,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_237_20260729T081457Z,Y,N,N,N,N,Y,N,FN
5784,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_5784_20260805T155858Z,Y,Y,Y,Y,N,Y,Y,TP
270,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_270_20260521T095849Z,Y,Y,Y,Y,Y,Y,Y,TP
974,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_974_20260811T072652Z,Y,Y,Y,Y,Y,Y,Y,TP
2434,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2434_20260717T190630Z,Y,Y,Y,Y,Y,Y,Y,TP
2635,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2635_20260823T201645Z,Y,N,N,N,N,N,N,FN
2122,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2122_20260820T091450Z,Y,Y,Y,Y,Y,Y,Y,TP
2130,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2130_20260810T101709Z,Y,Y,Y,Y,Y,Y,Y,TP
6050,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_6050_20260805T172922Z,Y,N,N,N,N,N,N,FN
1334,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1334_20260816T182942Z,Y,Y,Y,Y,Y,Y,Y,TP
1067,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1067_20260814T123127Z,Y,Y,Y,Y,Y,Y,Y,TP
563,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_563_20260623T223350Z,Y,Y,N,N,N,N,N,FN
1687,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1687_20260818T044726Z,Y,Y,Y,Y,Y,Y,Y,TP
2207,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2207_20260809T152833Z,Y,Y,Y,Y,Y,Y,Y,TP
6585,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_6585_20260805T202509Z,Y,Y,N,N,N,N,N,FN
1294,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1294_20260816T182750Z,Y,N,N,N,N,N,N,FN
1793,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1793_20260826T195023Z,Y,Y,Y,Y,Y,Y,Y,TP
3493,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_3493_20260822T091738Z,Y,N,N,N,N,N,N,FN
2130,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2130_20260823T112024Z,Y,N,N,N,N,N,N,FN
3266,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_3266_20260805T121048Z,Y,N,N,N,N,N,N,FN
1892,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1892_20260729T152208Z,Y,Y,Y,Y,Y,Y,Y,TP
1723,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1723_20260605T144633Z,Y,N,N,N,N,N,N,FN
563,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_563_20260730T151938Z,Y,Y,Y,Y,Y,Y,Y,TP
240,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_240_20260522T221855Z,Y,N,N,N,Y,Y,N,FN
2968,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2968_20260717T205549Z,Y,N,N,N,N,N,N,FN
1208,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1208_20260816T000846Z,Y,N,N,N,N,N,N,FN
141,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_141_20260729T075605Z,Y,Y,N,N,N,N,N,FN
29,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_29_20260614T084508Z,Y,Y,N,Y,N,Y,Y,TP
266,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_266_20260622T100845Z,Y,N,Y,N,Y,N,N,FN
2191,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2191_20260803T014118Z,Y,N,N,N,N,Y,N,FN
231,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_231_20260812T204159Z,Y,Y,Y,Y,Y,Y,Y,TP
1904,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1904_20260729T163017Z,Y,Y,Y,Y,Y,Y,Y,TP
962,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_962_20260623T024247Z,Y,N,N,N,N,N,N,FN
1696,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1696_20260818T061206Z,Y,Y,Y,Y,Y,Y,Y,TP
182,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_182_20260629T003502Z,Y,N,N,N,N,N,N,FN
2166,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2166_20260808T214256Z,Y,Y,Y,Y,Y,Y,Y,TP
1651,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1651_20260817T190549Z,Y,N,N,N,N,N,N,FN
3899,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_3899_20260523T160836Z,Y,Y,Y,Y,Y,Y,Y,TP
1900,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1900_20260729T153729Z,Y,Y,Y,Y,Y,Y,Y,TP
1724,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1724_20260729T103415Z,Y,Y,Y,Y,Y,Y,Y,TP
5787,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_5787_20260805T122049Z,Y,N,N,N,N,N,N,FN
3226,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_3226_20260822T080137Z,Y,N,N,N,N,N,N,FN
5700,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_5700_20260805T150027Z,Y,Y,Y,Y,Y,Y,Y,TP
1176,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1176_20260815T110931Z,Y,Y,Y,Y,Y,Y,Y,TP
SUMMARY,n=132,,TP=70,FP=4,TN=0,FN=58,Acc=0.5303,P=0.9459;R=0.5469,F1=0.6931;Spec=0.0000
