issue_number,url,Alfin,Yiming,Human Golden,,,,,
1924,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1924_20260810T103452Z,Y,Y,Y,,,,,
831,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_831_20260814T161354Z,Y,Y,Y,,,,,
596,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_596_20260706T040852Z,Y,Y,Y,,,,,
209,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_209_20260619T235044Z,Y,Y,Y,,,,,
1272,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1272_20260816T174203Z,Y,Y,Y,,,,,
2007,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2007_20260819T163823Z,Y,Y,Y,,,,,
1965,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1965_20260729T165449Z,Y,Y,Y,,,,,
1732,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1732_20260818T071638Z,Y,Y,Y,,,,,
1158,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1158_20260814T222448Z,Y,Y,Y,,,,,
2296,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2296_20260823T174322Z,Y,Y,Y,,,,,
2789,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2789_20260804T104755Z,Y,Y,Y,,,,,
1351,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1351_20260624T075019Z,Y,Y,Y,,,,,
2090,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2090_20260820T062310Z,Y,Y,Y,,,,,
121,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_121_20260614T144239Z,Y,Y,Y,,,,,
298,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_298_20260622T123423Z,Y,Y,Y,,,,,
1813,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1813_20260818T170656Z,Y,Y,Y,,,,,
2052,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2052_20260729T231408Z,Y,Y,Y,,,,,
1675,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1675_20260617T165705Z,Y,Y,Y,,,,,
1197,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1197_20260815T160749Z,Y,Y,Y,,,,,
33,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_33_MLE_20260614T100655Z,Y,Y,Y,,,,,
1703,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1703_20260627T133832Z,Y,Y,Y,,,,,
1810,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1810_20260818T170408Z,Y,Y,Y,,,,,
322,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_322_20260731T162619Z,Y,Y,Y,,,,,
579,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_579_20260814T054708Z,Y,Y,Y,,,,,
1277,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1277_20260511T034601Z,Y,Y,Y,,,,,
350,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_350_20260813T145604Z,Y,Y,Y,,,,,
9,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_9_20260522T230911Z,Y,Y,Y,,,,,
2276,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2276_20260803T045610Z,Y,Y,Y,,,,,
2055,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2055_20260730T044249Z,Y,Y,Y,,,,,
1551,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1551_20260817T114349Z,Y,Y,Y,,,,,
2089,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2089_20260823T001916Z,Y,Y,Y,,,,,
2000,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2000_20260808T192026Z,Y,Y,Y,,,,,
1689,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1689_20260818T055717Z,Y,Y,Y,,,,,
1745,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1745_20260808T133207Z,Y,Y,Y,,,,,
196,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_196_20260629T055224Z,N,Y,N,Domain application logic,,,,
2330,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2330_20260628T093544Z,Y,Y,Y,,,,,
388,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_388_20260616T133519Z,Y,Y,Y,,,,,
1890,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1890_20260810T110306Z,Y,Y,Y,,,,,
1136,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1136_20260511T024303Z,Y,Y,Y,,,,,
1820,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1820_20260818T173819Z,Y,Y,Y,,,,,
1885,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1885_20260730T043836Z,Y,Y,Y,,,,,
1221,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1221_20260816T090307Z,Y,Y,Y,,,,,
2561,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2561_20260628T160144Z,Y,Y,Y,,,,,
2652,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2652_20260823T183858Z,Y,Y,Y,,,,,
337,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_337_20260813T113844Z,Y,Y,Y,,,,,
2899,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2899_20260524T021939Z,Y,Y,Y,,,,,
411,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_411_20260510T154443Z,Y,Y,Y,,,,,
166,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_166_20260703T205716Z,Y,Y,Y,,,,,
1432,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1432_20260817T045516Z,Y,Y,Y,,,,,
237,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_237_20260729T081457Z,Y,Y,Y,,,,,
5784,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_5784_20260805T155858Z,Y,Y,Y,,,,,
270,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_270_20260521T095849Z,Y,Y,Y,,,,,
974,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_974_20260811T072652Z,Y,Y,Y,,,,,
2434,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2434_20260717T190630Z,Y,Y,Y,,,,,
2635,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2635_20260823T201645Z,Y,Y,Y,,,,,
2122,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2122_20260820T091450Z,Y,Y,Y,,,,,
2130,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2130_20260810T101709Z,Y,Y,Y,,,,,
6050,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_6050_20260805T172922Z,Y,Y,Y,,,,,
1334,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1334_20260816T182942Z,Y,Y,Y,,,,,
1067,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1067_20260814T123127Z,Y,Y,Y,,,,,
563,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_563_20260623T223350Z,Y,Y,Y,,,,,
1687,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1687_20260818T044726Z,Y,Y,Y,,,,,
2207,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2207_20260809T152833Z,Y,Y,Y,,,,,
6585,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_6585_20260805T202509Z,Y,Y,Y,,,,,
1294,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1294_20260816T182750Z,Y,Y,Y,,,,,
1793,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1793_20260826T195023Z,Y,Y,Y,,,,,
3493,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_3493_20260822T091738Z,Y,Y,Y,,,,,
2130,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2130_20260823T112024Z,Y,Y,Y,,,,,
3266,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_3266_20260805T121048Z,Y,Y,Y,,,,,
1892,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1892_20260729T152208Z,Y,Y,Y,,,,,
1723,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1723_20260605T144633Z,Y,Y,Y,,,,,
563,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_563_20260730T151938Z,Y,Y,Y,,,,,
240,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_240_20260522T221855Z,Y,Y,Y,,,,,
2968,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2968_20260717T205549Z,Y,Y,Y,,,,,
1208,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1208_20260816T000846Z,Y,Y,Y,,,,,
141,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_141_20260729T075605Z,Y,Y,Y,,,,,
29,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_29_20260614T084508Z,Y,Y,Y,,,,,
266,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_266_20260622T100845Z,Y,Y,Y,,,,,
2191,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2191_20260803T014118Z,Y,Y,Y,,,,,
231,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_231_20260812T204159Z,Y,Y,Y,,,,,
1904,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1904_20260729T163017Z,Y,Y,Y,,,,,
962,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_962_20260623T024247Z,Y,Y,Y,,,,,
1696,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1696_20260818T061206Z,Y,Y,Y,,,,,
182,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_182_20260629T003502Z,Y,Y,Y,,,,,
2166,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2166_20260808T214256Z,Y,Y,Y,,,,,
1651,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1651_20260817T190549Z,Y,Y,Y,,,,,
3899,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_3899_20260523T160836Z,Y,Y,Y,,,,,
1900,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1900_20260729T153729Z,Y,Y,Y,,,,,
1724,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1724_20260729T103415Z,Y,Y,Y,,,,,
5787,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_5787_20260805T122049Z,Y,Y,Y,,,,,
3226,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_3226_20260822T080137Z,Y,Y,Y,,,,,
5700,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_5700_20260805T150027Z,Y,Y,Y,,,,,
1176,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1176_20260815T110931Z,Y,Y,Y,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
